All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
566.354736	1.588580	3.398365	4.026133	0.000000	0.009119	0.022722	
567.944092	1.588503	3.395484	4.021543	0.000000	0.008932	0.022490	
569.533386	1.588427	3.392620	4.016996	0.000000	0.008749	0.022258	
571.122620	1.588351	3.389773	4.012502	0.000000	0.008572	0.022029	
572.711792	1.588274	3.386944	4.008085	0.000000	0.008406	0.021802	
574.300903	1.588198	3.384135	4.003698	0.000000	0.008252	0.021576	
575.890015	1.588122	3.381345	3.999393	0.000000	0.008112	0.021353	
577.479004	1.588030	3.378578	3.995128	0.000000	0.007990	0.021132	
579.067932	1.587921	3.375836	3.990912	0.000000	0.007888	0.020913	
580.656799	1.587811	3.373126	3.986766	0.000000	0.007806	0.020696	
582.245605	1.587702	3.370448	3.982642	0.000000	0.007741	0.020480	
583.834351	1.587593	3.367806	3.978602	0.000000	0.007692	0.020267	
585.423035	1.587484	3.365201	3.974588	0.000000	0.007656	0.020056	
587.011658	1.587374	3.362632	3.970632	0.000000	0.007633	0.019846	
588.600220	1.587265	3.360101	3.966724	0.000000	0.007619	0.019639	
590.188721	1.587156	3.357609	3.962850	0.000000	0.007614	0.019433	
591.777161	1.587079	3.355153	3.959043	0.000000	0.007616	0.019230	
593.365540	1.587009	3.352736	3.955252	0.000000	0.007622	0.019027	
594.953796	1.586940	3.350356	3.951538	0.000000	0.007631	0.018828	
596.542053	1.586870	3.348012	3.947842	0.000000	0.007642	0.018629	
598.130188	1.586801	3.345704	3.944205	0.000000	0.007654	0.018433	
599.718262	1.586731	3.343431	3.940601	0.000000	0.007664	0.018239	
601.306274	1.586662	3.341192	3.937039	0.000000	0.007671	0.018046	
602.894226	1.586592	3.338986	3.933522	0.000000	0.007674	0.017855	
604.482117	1.586523	3.336810	3.930033	0.000000	0.007671	0.017665	
606.069946	1.586456	3.334664	3.926600	0.000000	0.007662	0.017478	
607.657654	1.586390	3.332544	3.923184	0.000000	0.007644	0.017292	
609.245300	1.586323	3.330447	3.919832	0.000000	0.007619	0.017109	
610.832886	1.586257	3.328372	3.916486	0.000000	0.007588	0.016925	
612.420471	1.586191	3.326316	3.913211	0.000000	0.007551	0.016746	
614.007874	1.586125	3.324279	3.909941	0.000000	0.007510	0.016566	
615.595276	1.586059	3.322259	3.906734	0.000000	0.007465	0.016390	
617.182495	1.585993	3.320256	3.903537	0.000000	0.007419	0.016213	
618.769775	1.585927	3.318269	3.900396	0.000000	0.007371	0.016040	
620.356873	1.585861	3.316298	3.897269	0.000000	0.007324	0.015867	
621.943970	1.585798	3.314341	3.894193	0.000000	0.007277	0.015697	
623.530945	1.585735	3.312400	3.891132	0.000000	0.007232	0.015528	
625.117859	1.585672	3.310474	3.888120	0.000000	0.007189	0.015360	
626.704712	1.585609	3.308563	3.885124	0.000000	0.007150	0.015194	
628.291382	1.585546	3.306666	3.882174	0.000000	0.007116	0.015030	
629.878052	1.585483	3.304785	3.879239	0.000000	0.007087	0.014867	
631.464722	1.585420	3.302919	3.876350	0.000000	0.007064	0.014706	
633.051147	1.585357	3.301069	3.873476	0.000000	0.007047	0.014546	
634.637573	1.585294	3.299235	3.870646	0.000000	0.007039	0.014388	
636.223999	1.585232	3.297419	3.867828	0.000000	0.007038	0.014231	
637.810181	1.585172	3.295621	3.865058	0.000000	0.007047	0.014076	
639.396362	1.585113	3.293843	3.862294	0.000000	0.007065	0.013921	
640.982483	1.585053	3.292087	3.859581	0.000000	0.007092	0.013770	
642.568481	1.584993	3.290354	3.856868	0.000000	0.007126	0.013618	
644.154419	1.584933	3.288644	3.854212	0.000000	0.007167	0.013469	
645.740234	1.584873	3.286957	3.851553	0.000000	0.007213	0.013321	
647.326050	1.584814	3.285295	3.848948	0.000000	0.007263	0.013175	
648.911682	1.584754	3.283658	3.846345	0.000000	0.007317	0.013029	
650.497192	1.584694	3.282044	3.843786	0.000000	0.007373	0.012886	
652.082703	1.584634	3.280454	3.841237	0.000000	0.007430	0.012743	
653.668091	1.584576	3.278888	3.838724	0.000000	0.007488	0.012602	
655.253418	1.584520	3.277347	3.836228	0.000000	0.007546	0.012462	
656.838684	1.584463	3.275828	3.833757	0.000000	0.007602	0.012323	
658.423767	1.584406	3.274332	3.831313	0.000000	0.007657	0.012186	
660.008850	1.584350	3.272859	3.828882	0.000000	0.007708	0.012050	
661.593750	1.584293	3.271407	3.826490	0.000000	0.007755	0.011916	
663.178589	1.584236	3.269977	3.824098	0.000000	0.007798	0.011782	
664.763367	1.584179	3.268568	3.821756	0.000000	0.007835	0.011651	
666.348022	1.584123	3.267178	3.819412	0.000000	0.007867	0.011520	
667.932617	1.584066	3.265808	3.817108	0.000000	0.007892	0.011391	
669.517090	1.584009	3.264455	3.814813	0.000000	0.007909	0.011262	
671.101501	1.583954	3.263120	3.812544	0.000000	0.007918	0.011135	
672.685791	1.583900	3.261801	3.810298	0.000000	0.007918	0.011010	
674.269958	1.583847	3.260495	3.808062	0.000000	0.007909	0.010885	
675.854065	1.583793	3.259202	3.805863	0.000000	0.007892	0.010762	
677.438110	1.583739	3.257920	3.803664	0.000000	0.007866	0.010639	
679.021973	1.583686	3.256649	3.801507	0.000000	0.007833	0.010519	
680.605774	1.583632	3.255386	3.799353	0.000000	0.007793	0.010399	
682.189453	1.583578	3.254133	3.797225	0.000000	0.007747	0.010280	
683.773071	1.583524	3.252887	3.795117	0.000000	0.007695	0.010163	
685.356567	1.583471	3.251649	3.793017	0.000000	0.007638	0.010046	
686.940002	1.583417	3.250419	3.790954	0.000000	0.007577	0.009932	
688.523315	1.583363	3.249195	3.788890	0.000000	0.007512	0.009817	
690.106506	1.583312	3.247978	3.786861	0.000000	0.007444	0.009704	
691.689575	1.583261	3.246768	3.784841	0.000000	0.007372	0.009592	
693.272583	1.583210	3.245563	3.782836	0.000000	0.007299	0.009481	
694.855408	1.583159	3.244365	3.780859	0.000000	0.007223	0.009372	
696.438232	1.583109	3.243172	3.778881	0.000000	0.007146	0.009263	
698.020874	1.583058	3.241985	3.776941	0.000000	0.007068	0.009156	
699.603455	1.583007	3.240803	3.775005	0.000000	0.006990	0.009049	
701.185913	1.582956	3.239628	3.773086	0.000000	0.006912	0.008943	
702.768311	1.582906	3.238457	3.771192	0.000000	0.006834	0.008839	
704.350525	1.582855	3.237293	3.769298	0.000000	0.006757	0.008735	
705.932739	1.582804	3.236134	3.767439	0.000000	0.006681	0.008633	
707.514771	1.582753	3.234981	3.765585	0.000000	0.006607	0.008532	
709.096680	1.582711	3.233835	3.763744	0.000000	0.006535	0.008431	
710.678467	1.582687	3.232694	3.761930	0.000000	0.006465	0.008332	
712.260193	1.582663	3.231560	3.760115	0.000000	0.006399	0.008233	
713.841797	1.582639	3.230434	3.758330	0.000000	0.006335	0.008136	
715.423218	1.582615	3.229316	3.756554	0.000000	0.006273	0.008039	
717.004639	1.582591	3.228205	3.754784	0.000000	0.006215	0.007943	
718.585876	1.582567	3.227102	3.753047	0.000000	0.006159	0.007849	
720.167053	1.582543	3.226008	3.751310	0.000000	0.006105	0.007755	
721.748047	1.582519	3.224922	3.749591	0.000000	0.006053	0.007662	
723.328979	1.582495	3.223845	3.747891	0.000000	0.006003	0.007571	
724.909790	1.582471	3.222775	3.746190	0.000000	0.005956	0.007479	
726.490479	1.582448	3.221714	3.744521	0.000000	0.005910	0.007390	
728.071045	1.582424	3.220662	3.742857	0.000000	0.005865	0.007300	
729.651489	1.582396	3.219619	3.741198	0.000000	0.005822	0.007212	
731.231812	1.582351	3.218583	3.739571	0.000000	0.005780	0.007125	
732.812073	1.582306	3.217556	3.737944	0.000000	0.005740	0.007038	
734.392151	1.582261	3.216538	3.736331	0.000000	0.005701	0.006952	
735.972107	1.582216	3.215528	3.734738	0.000000	0.005663	0.006868	
737.552002	1.582170	3.214526	3.733145	0.000000	0.005625	0.006783	
739.131714	1.582125	3.213532	3.731576	0.000000	0.005589	0.006700	
740.711365	1.582080	3.212546	3.730018	0.000000	0.005553	0.006618	
742.290894	1.582035	3.211569	3.728460	0.000000	0.005518	0.006536	
743.870239	1.581990	3.210599	3.726931	0.000000	0.005483	0.006456	
745.449524	1.581945	3.209637	3.725408	0.000000	0.005448	0.006376	
747.028625	1.581900	3.208683	3.723884	0.000000	0.005414	0.006296	
748.607605	1.581854	3.207736	3.722394	0.000000	0.005380	0.006219	
750.186523	1.581809	3.206797	3.720903	0.000000	0.005346	0.006141	
751.765259	1.581768	3.205865	3.719417	0.000000	0.005313	0.006064	
753.343872	1.581747	3.204941	3.717959	0.000000	0.005279	0.005989	
754.922424	1.581725	3.204023	3.716501	0.000000	0.005245	0.005913	
