"channel","Energy","counts","fit","continuum","pileup","Si Ka","Si Kb","P Ka","P Kb","Ni Ka","Ni Kb","Ga Ka","Ga Kb","Ga L1","Ga L2","Ga L3","Rh L1","Rh L2","Rh L3"
814,7.179125,55,33.6445,33.37081,0.0003979526,0.07956862,0.002685097,0.001018024,1.107306e-05,0.1451915,0.003439292,0.03863659,0.00244182,1.523471e-05,4.846857e-05,5.997722e-05,3.56968e-05,5.512833e-05,9.072358e-05
815,7.189128,66,33.87106,33.57977,0.000396162,0.07927679,0.002675072,0.001014096,1.102927e-05,0.1626339,0.003503159,0.03901327,0.002457725,1.518304e-05,4.830877e-05,5.978034e-05,3.551985e-05,5.487091e-05,9.031198e-05
816,7.199132,53,34.10419,33.78835,0.0003943896,0.07898656,0.002665103,0.00101019,1.098574e-05,0.1870291,0.003568818,0.03939548,0.002473785,1.513163e-05,4.814977e-05,5.958442e-05,3.534421e-05,5.46153e-05,8.990317e-05
817,7.209135,79,34.34785,33.9966,0.0003926351,0.07869792,0.00265519,0.001006307,1.094246e-05,0.2222805,0.003636336,0.03978332,0.002490003,1.508048e-05,4.799154e-05,5.938946e-05,3.516988e-05,5.436147e-05,8.949714e-05
818,7.219138,73,34.60791,34.20446,0.0003908984,0.07841085,0.002645332,0.001002447,1.089945e-05,0.2743036,0.003705784,0.04017693,0.002506382,1.502959e-05,4.783409e-05,5.919545e-05,3.499684e-05,5.41094e-05,8.909385e-05
819,7.229141,62,34.89319,34.41201,0.0003891794,0.07812536,0.002635529,0.0009986082,1.085668e-05,0.3518442,0.003777237,0.04057639,0.002522922,1.497896e-05,4.767742e-05,5.90024e-05,3.482507e-05,5.385909e-05,8.869329e-05
820,7.239145,51,35.21642,34.61939,0.000387478,0.07784142,0.002625781,0.0009947916,1.081417e-05,0.4674974,0.003850771,0.04098185,0.002539626,1.492858e-05,4.752152e-05,5.881029e-05,3.465457e-05,5.361051e-05,8.829542e-05
821,7.249148,71,35.5951,34.82646,0.0003857939,0.07755903,0.002616086,0.0009909969,1.077191e-05,0.6389049,0.003926468,0.0413934,0.002556497,1.487846e-05,4.736638e-05,5.861911e-05,3.448533e-05,5.336364e-05,8.790023e-05
822,7.259151,51,36.05339,35.03338,0.0003841272,0.07727817,0.002606445,0.0009872239,1.072989e-05,0.8900612,0.004004414,0.04181118,0.002573537,1.482859e-05,4.721199e-05,5.842887e-05,3.431732e-05,5.311848e-05,8.750768e-05
823,7.269155,65,36.62258,35.23981,0.0003824776,0.07699884,0.002596857,0.0009834724,1.068812e-05,1.252596,0.004084698,0.04223532,0.002590747,1.477897e-05,4.705836e-05,5.823955e-05,3.415054e-05,5.287501e-05,8.711776e-05
824,7.279158,63,37.34348,35.44624,0.000380845,0.07672102,0.002587322,0.0009797422,1.064659e-05,1.76683,0.004167415,0.04266593,0.002608131,1.472959e-05,4.690548e-05,5.805115e-05,3.398498e-05,5.263321e-05,8.673045e-05
825,7.289161,53,38.26512,35.65215,0.0003792294,0.07644469,0.002577839,0.0009760332,1.06053e-05,2.482313,0.004252664,0.04310317,0.00262569,1.468047e-05,4.675335e-05,5.786366e-05,3.382063e-05,5.239307e-05,8.634571e-05
826,7.299164,65,39.44649,35.85806,0.0003776305,0.07616986,0.002568409,0.0009723452,1.056426e-05,3.457509,0.004340548,0.04354715,0.002643427,1.463159e-05,4.660195e-05,5.767708e-05,3.365746e-05,5.215457e-05,8.596353e-05
827,7.309168,75,40.95282,36.06338,0.0003760484,0.07589651,0.00255903,0.0009686781,1.052345e-05,4.758255,0.004431178,0.04399802,0.002661344,1.458295e-05,4.645129e-05,5.74914e-05,3.349548e-05,5.191769e-05,8.558389e-05
828,7.319171,64,42.85481,36.2687,0.0003744828,0.07562462,0.002549702,0.0009650317,1.048287e-05,6.454645,0.004524668,0.04445593,0.002679444,1.453456e-05,4.630135e-05,5.730661e-05,3.333467e-05,5.168242e-05,8.520676e-05
829,7.329174,59,45.22153,36.47364,0.0003729336,0.0753542,0.002540425,0.0009614058,1.044254e-05,8.616121,0.00462114,0.04492102,0.002697729,1.448641e-05,4.615214e-05,5.712271e-05,3.317501e-05,5.144876e-05,8.483211e-05
830,7.339178,80,48.11541,36.67859,0.0003714008,0.07508522,0.002531199,0.0009578004,1.040243e-05,11.30474,0.004720722,0.04539344,0.002716202,1.443849e-05,4.600366e-05,5.69397e-05,3.301651e-05,5.121667e-05,8.445994e-05
831,7.349181,61,51.58217,36.8829,0.0003698842,0.07481768,0.002522023,0.0009542151,1.036255e-05,14.56689,0.004823548,0.04587335,0.002734865,1.439081e-05,4.585588e-05,5.675757e-05,3.285914e-05,5.098615e-05,8.409021e-05
832,7.359184,65,55.6439,37.0872,0.0003683837,0.07455156,0.002512897,0.00095065,1.032291e-05,18.42398,0.00492976,0.0463609,0.002753721,1.434337e-05,4.570882e-05,5.657631e-05,3.270289e-05,5.075719e-05,8.37229e-05
